,split_0,split_1,split_2,mean,std,min,max
worst perimeter,0.48651203596627635,0.0,0.10798675009201325,0.19816626201942986,0.20860288998255858,0.0,0.48651203596627635
worst radius,0.0,0.0,0.5707871076292128,0.1902623692097376,0.26907162294564807,0.0,0.5707871076292128
worst fractal dimension,0.0,0.39304400053387906,0.0,0.13101466684462634,0.18528271872146326,0.0,0.39304400053387906
worst concave points,0.007615490166183884,0.3393772893772894,0.0,0.11566425984782443,0.158219549168355,0.0,0.3393772893772894
symmetry error,0.16042493078698444,0.0,0.0,0.05347497692899481,0.07562503762057282,0.0,0.16042493078698444
worst area,0.15566437438312963,0.0,0.0,0.051888124794376544,0.07338088981031497,0.0,0.15566437438312963
mean perimeter,0.1367299954311882,0.0,0.0,0.0455766651437294,0.06445513797399922,0.0,0.1367299954311882
worst concavity,0.0,0.053666711156589685,0.0,0.017888903718863227,0.025298730255202875,0.0,0.053666711156589685
worst smoothness,0.011533407043593609,0.0,0.0,0.0038444690145312027,0.005436900220473155,0.0,0.011533407043593609
mean texture,0.0,0.0,0.0,0.0,0.0,0.0,0.0
radius error,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean area,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean smoothness,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean compactness,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean concavity,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean concave points,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean symmetry,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean fractal dimension,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smoothness error,0.0,0.0,0.0,0.0,0.0,0.0,0.0
texture error,0.0,0.0,0.0,0.0,0.0,0.0,0.0
perimeter error,0.0,0.0,0.0,0.0,0.0,0.0,0.0
area error,0.0,0.0,0.0,0.0,0.0,0.0,0.0
worst symmetry,0.0,0.0,0.0,0.0,0.0,0.0,0.0
compactness error,0.0,0.0,0.0,0.0,0.0,0.0,0.0
concavity error,0.0,0.0,0.0,0.0,0.0,0.0,0.0
concave points error,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fractal dimension error,0.0,0.0,0.0,0.0,0.0,0.0,0.0
worst texture,0.0,0.0,0.0,0.0,0.0,0.0,0.0
worst compactness,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean radius,0.0,0.0,0.0,0.0,0.0,0.0,0.0
